pioreactor,hours_since,exp_fit
pioreactor01,3.958888888889,0.011267464273464386
pioreactor01,3.960277777778,0.011293828019364512
pioreactor01,3.961666666667,0.011320253451468495
pioreactor01,3.963055555556,0.011346740714110412
pioreactor01,3.964444444444,0.011373289951942964
pioreactor01,3.965833333333,0.011399901310014695
pioreactor01,3.967222222222,0.011426574933656146
pioreactor01,3.968611111111,0.011453310968557036
pioreactor01,3.97,0.011480109560747954
pioreactor01,3.971388888889,0.01150697085660119
pioreactor01,3.972777777778,0.011533895002831524
pioreactor01,3.974166666667,0.011560882146496993
pioreactor01,3.975555555556,0.011587932434999745
pioreactor01,3.976944444444,0.011615046016067282
pioreactor01,3.978333333333,0.011642223037831367
pioreactor01,3.979722222222,0.011669463648711765
pioreactor01,3.981111111111,0.011696767997495007
pioreactor01,3.9825,0.011724136233315837
pioreactor01,3.983888888889,0.011751568505657863
pioreactor01,3.985277777778,0.011779064964354517
pioreactor01,3.986666666667,0.011806625759589767
pioreactor01,3.988055555556,0.011834251041899016
pioreactor01,3.989444444444,0.011861940962149927
pioreactor01,3.990833333333,0.011889695671623028
pioreactor01,3.992222222222,0.011917515321892952
pioreactor01,3.993611111111,0.01194540006490895
pioreactor01,3.995,0.011973350052975777
pioreactor01,3.996388888889,0.012001365438754586
pioreactor01,3.997777777778,0.012029446375263713
pioreactor01,3.999166666667,0.012057593015879543
pioreactor01,4.000555555556,0.012085805514337297
pioreactor01,4.001944444444,0.012114084024711555
pioreactor01,4.003333333333,0.012142428701498564
pioreactor01,4.004722222222,0.01217083969949487
pioreactor01,4.006111111111,0.01219931717387964
pioreactor01,4.0075,0.012227861280195105
pioreactor01,4.008888888889,0.01225647217434743
pioreactor01,4.010277777778,0.012285150012607583
pioreactor01,4.011666666667,0.012313894951612201
pioreactor01,4.013055555556,0.012342707148364399
pioreactor01,4.014444444444,0.012371586760213812
pioreactor01,4.015833333333,0.012400533944940718
pioreactor01,4.017222222222,0.01242954886063213
pioreactor01,4.018611111111,0.012458631665765737
pioreactor01,4.02,0.012487782519190057
pioreactor01,4.021388888889,0.012517001580125317
pioreactor01,4.022777777778,0.012546289008164223
pioreactor01,4.024166666667,0.012575644963272955
pioreactor01,4.025555555556,0.012605069605791934
pioreactor01,4.026944444444,0.012634563096415533
pioreactor01,4.028333333333,0.01266412559627788
pioreactor01,4.029722222222,0.012693757266826327
pioreactor01,4.031111111111,0.012723458269907261
pioreactor01,4.0325,0.012753228767745787
pioreactor01,4.033888888889,0.012783068922946556
pioreactor01,4.035277777778,0.012812978898494675
pioreactor01,4.036666666667,0.012842958857756607
pioreactor01,4.038055555556,0.012873008964481094
pioreactor01,4.039444444444,0.012903129382778255
pioreactor01,4.040833333333,0.012933320277207396
pioreactor01,4.042222222222,0.012963581812647652
pioreactor01,4.043611111111,0.012993914154385729
pioreactor01,4.045,0.013024317468095035
pioreactor01,4.046388888889,0.013054791919836608
pioreactor01,4.047777777778,0.013085337676060073
pioreactor01,4.049166666667,0.013115954903604482
pioreactor01,4.050555555556,0.013146643769699292
pioreactor01,4.051944444444,0.013177404441943019
pioreactor01,4.053333333333,0.013208237088392942
pioreactor01,4.054722222222,0.013239141877432942
pioreactor01,4.056111111111,0.013270118977863128
pioreactor01,4.0575,0.01330116855887852
pioreactor01,4.058888888889,0.01333229079007007
pioreactor01,4.060277777778,0.013363485841425497
pioreactor01,4.061666666667,0.013394753883330276
pioreactor01,4.063055555556,0.013426095086568581
pioreactor01,4.064444444444,0.013457509622301515
pioreactor01,4.065833333333,0.013488997662158601
pioreactor01,4.067222222222,0.013520559378102995
pioreactor01,4.068611111111,0.0135521949425229
pioreactor01,4.07,0.013583904528209826
pioreactor01,4.071388888889,0.013615688308359632
pioreactor01,4.072777777778,0.01364754645657336
pioreactor01,4.074166666667,0.013679479146858324
pioreactor01,4.075555555556,0.013711486553628936
pioreactor01,4.076944444444,0.013743568851684573
pioreactor01,4.078333333333,0.013775726216302997
pioreactor01,4.079722222222,0.013807958823102729
pioreactor01,4.081111111111,0.013840266848136289
pioreactor01,4.0825,0.013872650467868152
pioreactor01,4.083888888889,0.01390510985917572
pioreactor01,4.085277777778,0.013937645199350186
pioreactor01,4.086666666667,0.013970256666097629
pioreactor01,4.088055555556,0.014002944437539876
pioreactor01,4.089444444444,0.014035708692191956
pioreactor01,4.090833333333,0.014068549609057408
pioreactor01,4.092222222222,0.014101467367487784
pioreactor01,4.093611111111,0.01413446214727785
pioreactor01,4.095,0.014167534128643126
pioreactor01,4.096388888889,0.014200683492220773
pioreactor01,4.097777777778,0.014233910419070578
pioreactor01,4.099166666667,0.014267215090676024
pioreactor01,4.100555555556,0.014300597688945184
pioreactor01,4.101944444444,0.014334058396187687
pioreactor01,4.103333333333,0.014367597395212067
pioreactor01,4.104722222222,0.01440121486918221
pioreactor01,4.106111111111,0.014434911001714757
pioreactor01,4.1075,0.014468685976855942
pioreactor01,4.108888888889,0.014502539979082603
pioreactor01,4.110277777778,0.014536473193303277
pioreactor01,4.111666666667,0.014570485804859095
pioreactor01,4.113055555556,0.014604577999524906
pioreactor01,4.114444444444,0.01463874996348553
pioreactor01,4.115833333333,0.014673001883435424
pioreactor01,4.117222222222,0.014707333946431912
pioreactor01,4.118611111111,0.01474174633999462
pioreactor01,4.12,0.014776239252081975
pioreactor01,4.121388888889,0.014810812871092151
